onset,score,predict
0:06:21,0.0,unknown
0:06:22,0.0,unknown
0:06:23,0.51226556,outdoor
0:06:24,0.52026165,outdoor
0:06:25,0.5007165,outdoor
0:06:26,0.0,unknown
0:06:27,0.0,unknown
0:06:28,0.0,unknown
0:06:29,0.0,unknown
0:06:30,0.0,unknown
0:06:31,0.0,unknown
0:06:32,0.0,unknown
0:06:33,0.0,unknown
0:06:34,0.0,unknown
0:06:35,0.0,unknown
0:06:36,0.0,unknown
0:06:37,0.0,unknown
0:06:38,0.0,unknown
0:06:39,0.0,unknown
0:06:40,0.0,unknown
0:06:41,0.0,unknown
0:06:42,0.0,unknown
0:06:43,0.0,unknown
0:06:44,0.0,unknown
0:06:45,0.0,unknown
0:06:46,0.0,unknown
0:06:47,0.0,unknown
0:06:48,0.0,unknown
0:06:49,0.0,unknown
0:06:50,0.0,unknown
0:06:51,0.0,unknown
0:06:52,0.0,unknown
0:06:53,0.0,unknown
0:06:54,0.0,unknown
0:06:55,0.0,unknown
0:06:56,0.0,unknown
0:06:57,0.0,unknown
0:06:58,0.0,unknown
0:06:59,0.0,unknown
0:07:00,0.0,unknown
0:07:01,0.0,unknown
0:07:02,0.0,unknown
0:07:03,0.0,unknown
0:07:04,0.0,unknown
0:07:05,0.0,unknown
0:07:06,0.0,unknown
0:07:07,0.5878165,transportation
0:07:08,0.619607,transportation
0:07:09,0.61918473,transportation
0:07:10,0.6521063,transportation
0:07:11,0.53820443,indoor
0:07:12,0.5321544,indoor
0:07:13,0.0,unknown
0:07:14,0.0,unknown
0:07:15,0.0,unknown
0:07:16,0.0,unknown
0:07:17,0.0,unknown
0:07:18,0.50509495,outdoor
0:07:19,0.0,unknown
0:07:20,0.0,unknown
0:07:21,0.0,unknown
0:07:22,0.0,unknown
0:07:23,0.0,unknown
0:07:24,0.0,unknown
0:07:25,0.0,unknown
0:07:26,0.0,unknown
0:07:27,0.0,unknown
0:07:28,0.0,unknown
0:07:29,0.0,unknown
0:07:30,0.0,unknown
0:07:31,0.0,unknown
0:07:32,0.0,unknown
0:07:33,0.0,unknown
0:07:34,0.0,unknown
0:07:35,0.0,unknown
0:07:36,0.0,unknown
0:07:37,0.0,unknown
0:07:38,0.0,unknown
0:07:39,0.0,unknown
0:07:40,0.0,unknown
0:07:41,0.0,unknown
0:07:42,0.0,unknown
0:07:43,0.0,unknown
0:07:44,0.0,unknown
0:07:45,0.5311902,indoor
0:07:46,0.5145278,indoor
0:07:47,0.0,unknown
0:07:48,0.0,unknown
0:07:49,0.0,unknown
0:07:50,0.53305787,indoor
0:07:51,0.5381476,indoor
0:07:52,0.559778,indoor
0:07:53,0.5253034,indoor
0:07:54,0.52675915,indoor
0:07:55,0.51346606,indoor
0:07:56,0.0,unknown
0:07:57,0.0,unknown
0:07:58,0.0,unknown
0:07:59,0.0,unknown
0:08:00,0.0,unknown
0:08:01,0.5247259,outdoor
0:08:02,0.5513426,outdoor
0:08:03,0.55197066,outdoor
0:08:04,0.6201153,outdoor
0:08:05,0.61820096,outdoor
0:08:06,0.6386983,outdoor
0:08:07,0.63517106,outdoor
0:08:08,0.55393124,outdoor
0:08:09,0.59254056,outdoor
0:08:10,0.57943,outdoor
0:08:11,0.5558001,outdoor
0:08:12,0.58189225,outdoor
0:08:13,0.58297515,outdoor
0:08:14,0.6525069,outdoor
0:08:15,0.57178617,outdoor
0:08:16,0.6169454,outdoor
0:08:17,0.6034313,outdoor
0:08:18,0.5834893,outdoor
0:08:19,0.6410011,outdoor
0:08:20,0.66728354,outdoor
0:08:21,0.59834373,outdoor
0:08:22,0.6318846,outdoor
0:08:23,0.64818895,outdoor
0:08:24,0.6613105,outdoor
0:08:25,0.68160486,outdoor
0:08:26,0.68016946,outdoor
0:08:27,0.63652015,outdoor
0:08:28,0.6154306,outdoor
0:08:29,0.65968955,outdoor
0:08:30,0.6438351,outdoor
0:08:31,0.66268027,outdoor
0:08:32,0.6321043,outdoor
0:08:33,0.61671615,outdoor
0:08:34,0.6081748,outdoor
0:08:35,0.6090189,outdoor
0:08:36,0.60219455,outdoor
0:08:37,0.6373447,outdoor
0:08:38,0.61723495,outdoor
0:08:39,0.0,unknown
0:08:40,0.0,unknown
0:08:41,0.0,unknown
0:08:42,0.0,unknown
0:08:43,0.0,unknown
0:08:44,0.0,unknown
0:08:45,0.0,unknown
0:08:46,0.5703308,outdoor
0:08:47,0.5584193,outdoor
0:08:48,0.5673268,outdoor
0:08:49,0.6695224,outdoor
0:08:50,0.65265054,outdoor
0:08:51,0.7016192,outdoor
0:08:52,0.70658493,outdoor
0:08:53,0.715781,outdoor
0:08:54,0.702516,outdoor
0:08:55,0.6701565,outdoor
0:08:56,0.6170032,outdoor
0:08:57,0.58719814,outdoor
0:08:58,0.5225285,outdoor
0:08:59,0.5624137,outdoor
0:09:00,0.5044739,outdoor
0:09:01,0.5385697,outdoor
0:09:02,0.0,unknown
0:09:03,0.0,unknown
0:09:04,0.0,unknown
0:09:05,0.0,unknown
0:09:06,0.0,unknown
0:09:07,0.51367575,outdoor
0:09:08,0.53087974,outdoor
0:09:09,0.5177103,outdoor
0:09:10,0.0,unknown
0:09:11,0.5343969,outdoor
0:09:12,0.5002381,outdoor
0:09:13,0.53294665,outdoor
0:09:14,0.5337659,outdoor
0:09:15,0.5211332,outdoor
0:09:16,0.5723003,outdoor
0:09:17,0.0,unknown
0:09:18,0.55652887,outdoor
0:09:19,0.5873507,outdoor
0:09:20,0.6085706,outdoor
0:09:21,0.593084,outdoor
0:09:22,0.6181204,outdoor
0:09:23,0.6464587,outdoor
0:09:24,0.6468525,outdoor
0:09:25,0.6735538,outdoor
0:09:26,0.6435167,outdoor
0:09:27,0.69751775,outdoor
0:09:28,0.6642231,outdoor
0:09:29,0.6682134,outdoor
0:09:30,0.6694561,outdoor
0:09:31,0.0,unknown
0:09:32,0.0,unknown
0:09:33,0.0,unknown
0:09:34,0.0,unknown
0:09:35,0.0,unknown
0:09:36,0.53596216,outdoor
0:09:37,0.5881826,outdoor
0:09:38,0.60364574,outdoor
0:09:39,0.5919657,outdoor
0:09:40,0.56164926,outdoor
0:09:41,0.571406,outdoor
0:09:42,0.5345501,outdoor
0:09:43,0.56489235,outdoor
0:09:44,0.5539233,outdoor
0:09:45,0.5169047,outdoor
0:09:46,0.51196176,outdoor
0:09:47,0.50205535,outdoor
0:09:48,0.0,unknown
0:09:49,0.0,unknown
0:09:50,0.0,unknown
0:09:51,0.0,unknown
0:09:52,0.0,unknown
0:09:53,0.0,unknown
0:09:54,0.0,unknown
0:09:55,0.0,unknown
0:09:56,0.0,unknown
0:09:57,0.0,unknown
0:09:58,0.0,unknown
0:09:59,0.0,unknown
0:10:00,0.0,unknown
0:10:01,0.0,unknown
0:10:02,0.0,unknown
0:10:03,0.0,unknown
0:10:04,0.5123436,outdoor
0:10:05,0.0,unknown
0:10:06,0.5241681,outdoor
0:10:07,0.0,unknown
0:10:08,0.5044932,outdoor
0:10:09,0.0,unknown
0:10:10,0.58091056,outdoor
0:10:11,0.5508381,outdoor
0:10:12,0.5227624,outdoor
0:10:13,0.0,unknown
0:10:14,0.0,unknown
0:10:15,0.0,unknown
0:10:16,0.0,unknown
0:10:17,0.0,unknown
0:10:18,0.0,unknown
0:10:19,0.0,unknown
0:10:20,0.0,unknown
0:10:21,0.0,unknown
0:10:22,0.0,unknown
0:10:23,0.0,unknown
0:10:24,0.5084109,outdoor
0:10:25,0.0,unknown
0:10:26,0.0,unknown
0:10:27,0.0,unknown
0:10:28,0.0,unknown
0:10:29,0.0,unknown
0:10:30,0.0,unknown
0:10:31,0.0,unknown
0:10:32,0.0,unknown
0:10:33,0.0,unknown
0:10:34,0.0,unknown
0:10:35,0.0,unknown
0:10:36,0.5073966,outdoor
0:10:37,0.5496812,outdoor
0:10:38,0.57500887,outdoor
0:10:39,0.5760809,outdoor
0:10:40,0.612272,outdoor
0:10:41,0.6353652,outdoor
0:10:42,0.6666269,outdoor
0:10:43,0.6908866,outdoor
0:10:44,0.72461164,outdoor
0:10:45,0.7153703,outdoor
0:10:46,0.7116264,outdoor
0:10:47,0.6906674,outdoor
0:10:48,0.710407,outdoor
0:10:49,0.7132505,outdoor
0:10:50,0.7363797,outdoor
0:10:51,0.73991567,outdoor
0:10:52,0.72964925,outdoor
0:10:53,0.7415144,outdoor
0:10:54,0.707927,outdoor
0:10:55,0.69465053,outdoor
0:10:56,0.7081675,outdoor
0:10:57,0.6957067,outdoor
0:10:58,0.71067494,outdoor
0:10:59,0.7174928,outdoor
0:11:00,0.7258389,outdoor
0:11:01,0.7286154,outdoor
0:11:02,0.70935696,outdoor
0:11:03,0.7068076,outdoor
0:11:04,0.7102744,outdoor
0:11:05,0.72495705,outdoor
0:11:06,0.7259023,outdoor
0:11:07,0.7234942,outdoor
0:11:08,0.7137684,outdoor
0:11:09,0.7068505,outdoor
0:11:10,0.682366,outdoor
0:11:11,0.65761375,outdoor
0:11:12,0.6371343,outdoor
0:11:13,0.61246616,outdoor
0:11:14,0.6147847,outdoor
0:11:15,0.582358,outdoor
0:11:16,0.5531838,outdoor
0:11:17,0.5118171,outdoor
0:11:18,0.0,unknown
0:11:19,0.0,unknown
0:11:20,0.0,unknown
0:11:21,0.51370764,indoor
0:11:22,0.5018211,indoor
0:11:23,0.5823282,outdoor
0:11:24,0.5777686,outdoor
0:11:25,0.51714396,outdoor
0:11:26,0.0,unknown
0:11:27,0.0,unknown
0:11:28,0.0,unknown
0:11:29,0.0,unknown
0:11:30,0.0,unknown
0:11:31,0.0,unknown
0:11:32,0.0,unknown
0:11:33,0.0,unknown
0:11:34,0.0,unknown
0:11:35,0.0,unknown
0:11:36,0.0,unknown
0:11:37,0.0,unknown
0:11:38,0.0,unknown
0:11:39,0.0,unknown
0:11:40,0.0,unknown
0:11:41,0.0,unknown
0:11:42,0.0,unknown
0:11:43,0.0,unknown
0:11:44,0.0,unknown
0:11:45,0.0,unknown
0:11:46,0.0,unknown
0:11:47,0.0,unknown
0:11:48,0.0,unknown
0:11:49,0.0,unknown
0:11:50,0.0,unknown
0:11:51,0.0,unknown
0:11:52,0.0,unknown
0:11:53,0.0,unknown
0:11:54,0.0,unknown
0:11:55,0.0,unknown
0:11:56,0.0,unknown
0:11:57,0.0,unknown
0:11:58,0.0,unknown
0:11:59,0.0,unknown
0:12:00,0.0,unknown
